Time,Temperature_Fahrenheit,Relative_Humidity
2021-05-09 05:19:00,69.44,59.4
2021-05-09 05:49:00,69.44,59.6
2021-05-09 06:19:00,69.62,59.8
2021-05-09 06:49:00,69.62,59.9
2021-05-09 07:19:00,69.98,59.8
2021-05-09 07:49:00,70.52,59.7
2021-05-09 08:19:00,71.06,59
2021-05-09 08:49:00,71.6,57.9
2021-05-09 09:19:00,71.78,57.2
2021-05-09 09:49:00,71.78,56.6
2021-05-09 10:19:00,71.96,56.1
2021-05-09 10:49:00,72.5,55.3
2021-05-09 11:19:00,72.5,54.8
2021-05-09 11:49:00,72.32,55.3
2021-05-09 12:19:00,73.22,54.6
2021-05-09 12:49:00,73.76,54
2021-05-09 13:19:00,73.76,53.9
2021-05-09 13:49:00,73.22,54.2
2021-05-09 14:19:00,73.22,54.2
2021-05-09 14:49:00,74.12,53.5
2021-05-09 15:19:00,74.84,52.9
2021-05-09 15:49:00,75.38,52.5
2021-05-09 16:19:00,75.56,52.3
2021-05-09 16:49:00,75.38,52.4
2021-05-09 17:19:00,75.2,52.6
2021-05-09 17:49:00,74.84,52.9
2021-05-09 18:19:00,74.48,53.1
2021-05-09 18:49:00,73.94,53.4
2021-05-09 19:19:00,73.22,53.8
2021-05-09 19:49:00,72.68,54.1
2021-05-09 20:19:00,72.14,54.4
2021-05-09 20:49:00,71.6,54.7
2021-05-09 21:19:00,71.42,55
2021-05-09 21:49:00,70.88,55.2
2021-05-09 22:19:00,70.7,55.4
2021-05-09 22:49:00,70.52,55.8
2021-05-09 23:19:00,70.16,56.4
2021-05-09 23:49:00,69.98,56.8
2021-05-10 00:19:00,69.8,57.4
2021-05-10 00:49:00,69.8,57.8
2021-05-10 01:19:00,69.8,58.2
2021-05-10 01:49:00,69.62,58.4
2021-05-10 02:19:00,69.44,58.9
2021-05-10 02:49:00,69.26,59.2
2021-05-10 03:19:00,69.26,59.6
2021-05-10 03:49:00,68.9,59.8
2021-05-10 04:19:00,68.9,60
2021-05-10 04:49:00,68.9,60.1
2021-05-10 05:19:00,68.9,60.2
2021-05-10 05:49:00,68.9,60.3
2021-05-10 06:19:00,69.08,60.5
2021-05-10 06:49:00,69.44,60.6
2021-05-10 07:19:00,69.8,60.6
2021-05-10 07:49:00,70.34,60.3
2021-05-10 08:19:00,70.88,59.7
2021-05-10 08:49:00,71.6,58.7
2021-05-10 09:19:00,71.78,57.9
2021-05-10 09:49:00,71.78,57.2
2021-05-10 10:19:00,71.96,56.5
2021-05-10 10:49:00,72.68,55.5
2021-05-10 11:19:00,73.4,54.9
2021-05-10 11:49:00,74.66,53.7
2021-05-10 12:19:00,75.38,53.1
2021-05-10 12:49:00,75.92,52.7
2021-05-10 13:19:00,76.64,52.2
2021-05-10 13:49:00,76.64,52.3
2021-05-10 14:19:00,77,52.1
2021-05-10 14:49:00,77.54,51.6
